"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85941",2,149.625,"diffPos_diffObj",155,156,155.499196139401,5.375,6.375,5.87419613940125,1,5.875,0.000803860598750816,50.28125
"85941",3,63.625,"samePos_sameObj",67,96,80.1997506230536,3.375,32.375,16.5747506230536,29,17.875,1.30024937694637,-35.71875
"85941",4,135,"samePos_diffObj",151,151,151,16,16,16,0,16,0,35.65625
"85941",5,92,"samePos_sameObj",120,110,114.891252930761,28,18,22.8912529307606,10,23,0.108747069239413,-7.34375
"85941",6,77.625,"samePos_sameObj",110,92,100.598210719674,32.375,14.375,22.9732107196743,18,23.375,0.401789280325687,-21.71875
"85941",7,135,"samePos_sameObj",137,138,137.499090906086,2,3,2.49909090608566,1,2.5,0.000909093914344794,35.65625
"85941",8,120.625,"samePos_sameObj",140,137,138.491877018113,19.375,16.375,17.8668770181125,3,17.875,0.00812298188745331,21.28125
"85941",9,135,"samePos_sameObj",140,148,143.944433723573,5,13,8.94443372357259,8,9,0.0555662764274132,35.65625
"85941",10,63.625,"diffPos_diffObj",66,88,76.2102355330306,2.375,24.375,12.5852355330306,22,13.375,0.789764466969402,-35.71875
"85941",11,149.625,"diffPos_sameObj",156,160,157.987341265052,6.375,10.375,8.3623412650519,4,8.375,0.0126587349481042,50.28125
"85941",12,120.625,"diffPos_diffObj",137,149,142.874070425672,16.375,28.375,22.2490704256724,12,22.375,0.125929574327586,21.28125
"85941",13,77.625,"diffPos_sameObj",112,119,115.446957517294,34.375,41.375,37.8219575172945,7,37.875,0.0530424827055072,-21.71875
"85941",14,120.625,"samePos_diffObj",152,149,150.492524731297,31.375,28.375,29.8675247312968,3,29.875,0.00747526870318893,21.28125
"85941",15,63.625,"diffPos_sameObj",52,98,71.386273190299,11.625,34.375,7.76127319029899,46,23,15.238726809701,-35.71875
"85941",16,77.625,"samePos_diffObj",75,97,85.2936105461599,2.625,19.375,7.6686105461599,22,11,3.3313894538401,-21.71875
"85941",17,63.625,"samePos_sameObj",51,76,62.2575296650935,12.625,12.375,1.36747033490646,25,12.5,11.1325296650935,-35.71875
"85941",18,135,"samePos_sameObj",147,142,144.478372083852,12,7,9.47837208385198,5,9.5,0.0216279161480202,35.65625
"85941",19,106.625,"samePos_sameObj",127,134,130.453056690903,20.375,27.375,23.8280566909031,7,23.875,0.0469433090968892,7.28125
"85941",20,77.625,"samePos_diffObj",111,137,123.316665540388,33.375,59.375,45.6916655403883,26,46.375,0.683334459611672,-21.71875
"85941",21,49.625,"samePos_sameObj",59,58,58.4978632088387,9.375,8.375,8.87286320883867,1,8.875,0.00213679116133392,-49.71875
"85941",22,106.625,"diffPos_diffObj",151,135,142.77604841149,44.375,28.375,36.1510484114895,16,36.375,0.22395158851046,7.28125
